node_type,node_id,x,y
Company,comp_20183,14.6157,11.476787
Company,comp_20187,-16.994213,1.1626061
Company,comp_20211,46.61302,13.382256
Company,comp_20310,0.95903337,-13.198766
Company,comp_20352,-1.6262857,44.105495
Company,comp_20367,34.926304,21.9596
Company,comp_20616,2.8670523,-18.064592
Company,comp_20667,23.56335,-8.635381
Company,comp_20709,4.2122483,-32.84244
Company,comp_20780,4.0458097,0.28867114
Company,comp_20795,13.793936,14.413825
Company,comp_20818,45.1443,11.587537
Company,comp_20836,-6.6660233,29.253618
Company,comp_20910,14.300137,-6.156609
Company,comp_21119,-43.11933,4.288931
Company,comp_21215,-1.8132747,26.512646
Company,comp_21244,8.762594,-29.312084
Company,comp_21271,16.571829,-18.293808
Company,comp_21354,8.857697,-29.729675
Company,comp_21357,22.129734,-2.7472968
