Ticker,Short Name,Cntry Terrtry Of Dom,Sec Type,Market Cap,Revenue:Y,Tot Assets:Y,Number of Employees LF,ICB Sector Name,ICB Subsector Name,GICS Ind Name,GICS SubInd Name,BICS L3 Ind Nm,BICS L4 Sub Ind Nm,BICS L5 Seg Nm,BICS L6 Seg Nm
3603022Q GR Equity,MIRAMONTE MINING,CH,Common Stock,--,--,--,--,Precious Metals and Mining,Gold Mining,--,--,Metals & Mining,Precious Metals,Gold,--
0740121D US Equity,SPRING VALLEY GO,US,Private Comp,--,--,--,--,--,--,--,--,Metals & Mining,Precious Metals,Gold,--
LRLG CN Equity,LASSIE RED LAKE,CA,Common Stock,--,--,--,--,--,--,--,--,Metals & Mining,Precious Metals,Gold,--
0740101D MM Equity,VISTA GOLD CORP,MX,Private Comp,--,--,--,--,--,--,--,--,Metals & Mining,Precious Metals,Silver,--
0740097D CN Equity,CLAVOS GOLD MINE,CA,Private Comp,--,--,--,--,--,--,--,--,Metals & Mining,Precious Metals,Gold,--
0740018D AU Equity,RED OCTOBER GOLD,AU,Private Comp,--,--,--,--,--,--,--,--,Metals & Mining,Precious Metals,Gold,--
0739643D GN Equity,AKOASE GOLD DEPO,GH,Private Comp,--,--,--,--,--,--,--,--,Metals & Mining,Precious Metals,Gold,--
0739905D MM Equity,LA NEGRA SILVER,MX,Private Comp,--,--,--,--,--,--,--,--,Metals & Mining,Precious Metals,--,--
0739863D AU Equity,PAULSENS GOLD MI,AU,Private Comp,--,--,--,--,--,--,--,--,Metals & Mining,Precious Metals,Gold,--
0739861D GN Equity,BOGOSO/PRESTEA G,GH,Private Comp,--,--,--,--,--,--,--,--,Metals & Mining,Precious Metals,Gold,--
WGP BH Equity,WINDSOR GOLD PAR,BM,Common Stock,--,--,--,--,--,--,--,--,Metals & Mining,Precious Metals,Gold,--
PG5 G4 Equity,PG ALLUVIAL MINI,GB,Common Stock,--,--,--,--,Precious Metals and Mining,Gold Mining,--,--,Metals & Mining,Precious Metals,Gold,--
0739849D GN Equity,MAMPON GOLD DEPO,GH,Private Comp,--,--,--,--,--,--,--,--,Metals & Mining,Precious Metals,Gold,--
3603014Z CI Equity,COMPANIA MINERA,CL,Private Comp,--,--,--,--,--,--,--,--,Metals & Mining,Precious Metals,Gold,--
0739821D SJ Equity,EVEREST SOUTH PG,ZA,Private Comp,--,--,--,--,--,--,--,--,Metals & Mining,Precious Metals,Platinum Group,Platinum
