Ticker,Short Name,Cntry Terrtry Of Dom,Sec Type,Market Cap,Revenue:Y,Tot Assets:Y,Number of Employees LF,ICB Sector Name,ICB Subsector Name,GICS Ind Name,GICS SubInd Name,BICS L3 Ind Nm,BICS L4 Sub Ind Nm,BICS L5 Seg Nm,BICS L6 Seg Nm
AMC VN Equity,ASIA MINERAL JSC,VN,Common Stock,2.82M,9.67M,6.48M,109,Industrial Metals and Mining,General Mining,Chemicals,Commodity Chemicals,Metals & Mining,Mineral & Precious Stone Mining,--,--
KHD VN Equity,HAI DUONG MINERA,VN,Common Stock,2.81M,2.00M,3.88M,38,--,--,--,--,Metals & Mining,Mineral & Precious Stone Mining,--,--
RMI CN Equity,RIDGESTONE MININ,TW,Common Stock,2.78M,0,1.56M,--,Precious Metals and Mining,Gold Mining,--,--,Metals & Mining,Mineral & Precious Stone Mining,--,--
SIEN CN Equity,SIENNA RESOURCES,CA,Common Stock,2.77M,0,2.54M,--,"Oil, Gas and Coal",Oil: Crude Producers,Metals & Mining,Diversified Metals & Mining,Metals & Mining,Mineral & Precious Stone Mining,--,--
WBGD CN Equity,WARABA GOLD LTD,CA,Common Stock,2.68M,0,592.05k,--,--,--,--,--,Metals & Mining,Mineral & Precious Stone Mining,--,--
ION CN Equity,LITHIUM ION ENER,CA,Common Stock,2.67M,0,2.84M,--,--,--,--,--,Metals & Mining,Mineral & Precious Stone Mining,Mineral Mining,Lithium
VQC VN Equity,VINACOMIN QUACON,VN,Common Stock,2.65M,14.74M,8.81M,530,--,--,--,--,Metals & Mining,Mining Services,Coal Support Services,--
TONE CN Equity,TRIPLE ONE METAL,CA,Common Stock,2.60M,0,1.82M,--,--,--,--,--,Metals & Mining,Mineral & Precious Stone Mining,Mineral Mining,Lithium
XRI CN Equity,XCITE RESOURCES,CA,Common Stock,2.60M,--,421.38k,--,--,--,--,--,Metals & Mining,Mineral & Precious Stone Mining,Mineral Mining,--
BULL CN Equity,QUEST CRITICAL M,CA,Common Stock,2.59M,0,393.38k,--,--,--,"Oil, Gas & Consumable Fuels",Coal & Consumable Fuels,Metals & Mining,Mineral & Precious Stone Mining,Mineral Mining,--
RGN CN Equity,RUSH GOLD CORP,CA,Common Stock,2.56M,--,103.88k,--,--,--,--,--,Metals & Mining,Mineral & Precious Stone Mining,Mineral Mining,--
SCLTF US Equity,SEARCHLIGHT RESO,CA,Common Stock,2.56M,0,2.04M,--,Industrial Metals and Mining,General Mining,--,--,Metals & Mining,Mineral & Precious Stone Mining,--,--
MT CN Equity,M3 METALS CORP,CA,Common Stock,2.54M,0,2.91M,--,Industrial Metals and Mining,General Mining,Metals & Mining,Diversified Metals & Mining,Metals & Mining,Iron,--,--
