Company_neo4j_id,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15
comp_210,-0.51555204,0.5624478,0.3845561,-0.14853688,0.1592807,-0.76023626,0.10279245,-0.50939226,0.22513022,0.06075424,0.5609783,-0.24011143,0.20851131,0.20136222,0.46224588,-0.325595
comp_218,0.18981728,-0.043695353,0.36481753,-0.87749183,0.7254575,0.511954,0.13304959,-0.2014271,-0.55110985,-0.5290469,0.06707161,-0.39372423,-0.08187985,-0.17710789,0.0696683,0.696595
comp_219,-0.2325768,-0.41501898,-0.62479466,-0.26776686,0.34004393,0.22632036,-0.2985712,-0.3561173,-1.3160543,-0.88759714,-0.39110264,0.65612864,0.4164273,0.27957538,0.18544641,0.35001743
comp_220,-0.61940753,0.2975834,-0.6832929,0.8061985,0.076973185,-0.6964454,0.0061079236,0.04068496,-0.5324899,-0.6629401,0.2532516,-0.021185778,-0.33664557,0.46473962,0.77313215,-0.15459748
comp_222,-0.8875228,-0.3430654,0.011413968,-0.2746271,-0.14200926,0.04027826,0.42977297,-0.0326894,0.51324093,-0.45569327,0.507431,0.17618263,-0.1256007,0.38562858,0.3752776,0.093795665
comp_223,0.22792864,0.09896789,-0.01027324,-0.54792756,0.11411965,-0.082988776,0.704072,-0.23218091,-0.01135344,0.18137793,0.5163156,0.14403705,0.441676,-0.28456667,-0.29743907,-0.010120901
comp_225,-0.5194881,-0.5596523,0.29322043,-1.0199802,0.32566252,-0.22025,0.39251283,-0.14137551,-0.36969858,1.1802409,-0.34195566,0.48055264,-0.80240345,-0.278779,0.5279685,-0.3409494
comp_227,-0.17093232,0.075589135,0.30055857,0.35237077,0.2680139,-0.76960605,0.53701276,-0.4289466,0.21293367,0.35225886,-0.21354137,-0.05914705,0.3730122,0.10883694,-0.055060342,-0.5499341
comp_228,-0.6857445,-0.15836006,-0.039393038,-2.3218145,-0.24018784,0.26841602,0.95343554,0.34971884,0.5913247,0.6236004,-0.1602203,0.2527718,-1.0381157,0.14481902,0.8188443,-0.022313455
comp_229,-0.40491378,0.73853415,-0.46079877,-0.38105264,-0.5568335,0.029578587,0.6363869,0.72783154,0.15006009,0.02727795,-0.09754953,0.020026498,-0.19179033,0.19133934,0.1824381,-0.37504247
comp_230,0.41517434,0.599137,0.12000962,0.47617212,0.14220849,-0.014231872,-0.058839694,-0.2219589,-0.28089067,-0.4164822,0.35886684,0.21194708,-0.35800183,0.51893455,0.5652925,0.22320083
comp_233,0.36502364,0.405707,0.56683666,-0.41051897,-0.6670325,0.31377557,-0.4493921,-0.9777049,0.10973747,-0.65705264,0.44810033,0.058008898,-0.6196517,0.13157807,-0.34357083,0.13829741
comp_235,-0.10488796,-1.4270467,1.6763554,-0.21791598,-0.5497221,-0.40216348,-0.5105846,-0.010767364,-0.39525187,0.13756648,0.78241926,0.058524266,-0.17346132,0.19287637,0.20249489,-1.2915848
comp_237,-0.120957,0.28060815,-0.37913457,-0.118785575,0.23805998,0.37149656,0.05519384,-0.8000751,0.19521499,0.054468315,0.51706845,0.27456483,0.06911315,0.15953586,-0.18033071,-0.45527148
comp_241,0.94900924,0.43336955,-0.11423879,0.44509006,0.027580608,-0.473516,-1.119397,-0.7000556,0.11695934,-0.8198567,-0.7142587,0.102249615,-0.42753366,0.35334766,-0.063042484,-0.9235868
comp_242,0.2818107,-0.48906142,-0.07005753,-0.6294796,-0.04477787,-0.24769734,-0.22280636,-1.3125552,-0.766589,-0.72452056,-0.7239128,0.6079073,-0.25434405,0.03967033,-0.60403603,-0.5207066
comp_243,1.70616,-0.04229787,0.76353407,0.1511039,-0.124143586,-0.53411114,-1.2197824,0.04790072,0.018325932,0.44994235,-0.7031559,0.48489282,-0.78218555,-0.10019026,0.3374349,-0.28998575
comp_246,0.23675828,0.17230311,-0.68951064,-0.5819597,-0.40496364,-0.4561861,0.40547898,0.085664846,0.32990047,-0.70462006,0.7246159,-0.14634128,-0.6060828,0.23861174,0.42828983,-0.098635115
comp_247,0.45180905,-0.29168388,-1.0459152,0.09999384,-0.58957815,-0.4642512,0.07249162,0.13659738,-0.63524526,-0.18569405,-0.6781222,-0.19584614,-0.453214,-0.16225165,-0.09495384,-0.70329106
