companyID,Ticker,Company Name,SYNONYMS,ACN,Country of Domicile,Company Type,Market Cap,Revenue:Y,Tot Assets:Y,Number of Employees:LF,ICB Sector,ICB Subsector,GICS Industry,GICS SubIndustry,BICS L3 Industry,BICS L4 Sub Industry,BICS L5 Segment,BICS L6 Segment,Company Description,Linkedin_empCount,Linkedin_Followers,Source
comp_5223,1472 HK Equity,Sang Hing Holdings International Ltd,,,Hong Kong,Common Stock,13450000.0,38350000.0,68250000.0,147.0,Construction and Materials,Engineering and Contracting Services,Construction & Engineering,Construction & Engineering,Engineering & Construction,Engineering Services,,,,,,Bloomberg
comp_5224,1429 HK Equity,Skymission Group Holdings Ltd,,,Hong Kong,Common Stock,13100000.0,79330000.0,71060000.0,1000.0,Construction and Materials,Construction,Construction & Engineering,Construction & Engineering,Engineering & Construction,Engineering Services,,,,,,Bloomberg
comp_5225,DHM VN Equity,Duong Hieu Trading and Mining JSC,,,Viet Nam,Common Stock,12890000.0,207430000.0,62170000.0,24.0,Industrial Metals and Mining,General Mining,Metals & Mining,Diversified Metals & Mining,Steel,Steel Producers,Flat Rolled,,,,,Bloomberg
comp_5226,EEII EY Equity,El Arabia Engineering Industries,,,Egypt,Common Stock,12800000.0,8230000.0,11320000.0,,Investment Banking and Brokerage Services,Diversified Financial Services,Machinery,Industrial Machinery & Supplies & Components,Engineering & Construction,Engineering Services,,,,,,Bloomberg
comp_5227,FIRE IJ Equity,Alfa Energi Investama Tbk PT,,,Indonesia,Common Stock,12750000.0,45290000.0,34520000.0,72.0,"Oil, Gas and Coal",Coal,"Oil, Gas & Consumable Fuels",Coal & Consumable Fuels,Metals & Mining,Coal Mining,Thermal Coal,,,,,Bloomberg
comp_5228,TLO PW Equity,Telesto SA,,,Poland,Common Stock,12650000.0,3320000.0,2780000.0,7.0,Industrial Engineering,Machinery: Specialty,,,Machinery,Construction & Mining Machinery,,,,,,Bloomberg
comp_5229,SOTET TU Equity,Societe Tunsienne d'Entreprises de Telecommunications,,,Tunisia,Common Stock,12630000.0,34490000.0,45430000.0,,Telecommunications Service Providers,Telecommunications Services,Diversified Telecommunication Services,Integrated Telecommunication Services,Engineering & Construction,Infrastructure Construction,Communication Infra Const,,,,,Bloomberg
comp_5230,IMP PM Equity,Imperial Resources Inc,,,Philippines,Common Stock,12500000.0,,25180000.0,,Industrial Metals and Mining,General Mining,Metals & Mining,Diversified Metals & Mining,Metals & Mining,Mining Services,,,Imperial Resources is an emerging Australian resource development and mining company with Quality quarry resources products and services to the Mining Construction industry both in Western Australia and Globally,0.0,26.0,Bloomberg
comp_5231,CMS VN Equity,CMH Vietnam Group JSC,,,Viet Nam,Common Stock,12290000.0,12230000.0,35530000.0,125.0,Construction and Materials,Construction,Professional Services,Human Resource & Employment Services,Engineering & Construction,Infrastructure Construction,,,,,,Bloomberg
comp_5232,ASTEEL MK Equity,ASTEEL Group Bhd,,,Malaysia,Common Stock,12250000.0,82320000.0,87880000.0,,Industrial Metals and Mining,Iron and Steel,Metals & Mining,Steel,Steel,Steel Producers,"Long, Pipe & Tubular",Pipe & Tubular,,,,Bloomberg
comp_5233,BMC VN Equity,Binh Dinh Minerals JSC,,,Viet Nam,Common Stock,12190000.0,11820000.0,16309999.999999998,,Industrial Metals and Mining,General Mining,Metals & Mining,Diversified Metals & Mining,Metals & Mining,Base Metals,,,,,,Bloomberg
comp_5234,MDC VN Equity,Vinacomin - Mong Duong Coal JSC,,,Viet Nam,Common Stock,12190000.0,158150000.0,75260000.0,3000.0,"Oil, Gas and Coal",Coal,"Oil, Gas & Consumable Fuels",Coal & Consumable Fuels,Metals & Mining,Coal Mining,Thermal Coal,,,,,Bloomberg
comp_5235,PERM TB Equity,Permsin Steel Works PCL,,,Thailand,Common Stock,12070000.0,156760000.0,190940000.0,,Industrial Metals and Mining,Iron and Steel,Metals & Mining,Steel,Industrial Intermediate Prod,Fabricated Metal & Hardware,,,,,,Bloomberg
