Company Name,Current Rank,Previous Rank,Senior Executive Name & Title,Year established,Total number of WA Staff (including long term contractors),Number of truck drivers employed in WA,Total number of National Staff (including long term contractors),Number of trucks e.g asset base/fleet/number of pieces of equipment,Tonnes moved (annually),Number of branches/depots in WA,Branch Locations (suburb/town only),Footprint (in sqm),Number of Branches/Depots Interstate,Core Services: Regions Covered,Core Services: Industries Covered,Notable clients,WA Revenue most recent financial year,Is the organisation headquartered in WA?,Ultimate holding company
Sykes Transport WA,44,43,David Sykes(Managing Director),1959,NFP,40,,150,200000+,2,"Kewdale, Kalgoorlie","Perth depot - 21,000sqm,  Kalgoorlie depot - 12…Perth depot - 21,000sqm,  Kalgoorlie depot - 12,000sqm",,"Perth Metro, Kalgoorlie, Goldfields, Pilbara","General Transport; Perth to Kalgoorlie Transport;…General Transport; Perth to Kalgoorlie Transport; Controlled Waste; Dangerous Goods; Tanker Freight; Container Handling; Storage and Distribution; mining, civil, sensitive & general freight for all market sectors statewide. Licensed public weighbridges.","Lynas, IXOM, Iluka Resources, Tellus Holdings,…Lynas, IXOM, Iluka Resources, Tellus Holdings, United Industrial, Office National, Godfrey Hirst, Dunlop Flooring",NFP,Yes,
Bishop's Transport,26,28,Geoff Bishop(Managing Director),1972,200,100,250,600,,12,"Perth , Broome, Carnarvon, Derby, Karratha,…Perth , Broome, Carnarvon, Derby, Karratha, Kununurra, Port Hedland, Darwin, Newman, Onslow, Fitzroy Crossing and Halls Creek",,1,Road train services to North West WA areas. All…Road train services to North West WA areas. All other transport needs Australia wide.,"All forms of road transport and licensed to…All forms of road transport and licensed to transport all dangerous goods including explosives, radioactive, ammonium nitrate and controlled waste.",,,Yes,
B & J Catalano,14,10,"Bill Catalano(Co-Founder, Managing Director)",1962,NFP,,,250,,3,,,,Western Australia,"Civil & Mining, Bulk Haulage, Materials Supply,…Civil & Mining, Bulk Haulage, Materials Supply, Bulk Storage, Port Services, Equipment Hire, Contract Crushing Hard Rock Quarry","South West Gateway Alliance, MRDWA , Talison…South West Gateway Alliance, MRDWA , Talison Lithium, South 32, KSS, MACA, Tronox, Fulton Hogan, Veolia, WAPRES, Bunbury Fibre, Shire of Harvey, Shire of Manjimup, Shire of Victoria Plains, City of Kalamunda, City of Swan, EMRC, Shire of Kulin",NFP,Yes,
MGM Group,12,,,2004,400,,,200,,,,,,,,,,Yes,
Simon National Carriers,59,46,Clarry Wrensted(WA Manager),1973,NFP,NFP,333,380,,1,"Adelaide, Brisbane, Darwin, Melbourne, Perth,…Adelaide, Brisbane, Darwin, Melbourne, Perth, Sydney, Toowoomba, Townsville","133,000m2",7,Australia Wide,"Manufacturing, construction, mining, oil and gas.",,,Yes,Simon Transport Pty Ltd
LN Price and Partners,32,28,Allan Price(General Manager),1984,140,90,,100,220000,3,"Busselton, Maddington, CanningVale",3 depots,,WA,"Transport and distribution, retail, licensed Post…Transport and distribution, retail, licensed Post Office, scrap metal, transport driver training school, Commercial Property and Hair Salons",,$30.00m,Yes,LN Price and Partners PTY LTD
GKR Transport,40,33,"David Searle(State Manager, WA)",1985,80,,190,218,,1,"Welshpool, Truganina, Regency Park, Villawood,…Welshpool, Truganina, Regency Park, Villawood, Redbank",,4,"WA, NSW, VIC, SA and QLD","Interstate linehaul, warehousing, storage and…Interstate linehaul, warehousing, storage and distribution",,,Yes,Logistics Holdings Australia
QUBE Holdings,3,2,"Darren Byrne(General Manager, SA & WA)",1999,"1,600",,8500,"1,650",,13,"Fremantle, Esperance, Bunbury, Keysbrook,…Fremantle, Esperance, Bunbury, Keysbrook, Rockingham, Geraldton, Karratha, Dampier, Port Hedland, Utah Point, Kalgoorlie","500,000",130,Australia-wide - Metropolitan and Regional,"Retail, industrial, mining, automotive,…Retail, industrial, mining, automotive, agricultural",,,,
Tidy Up,68,57,Anthony Berry(Business Development Manager),1975,12,5,,5,11000,2,Bull Creek and Cockburn Central,Home office and yard 2500m2,,Perth metro and surrounds.,Waste management (hands-on rubbish removal),"US Consulate, Westplex, City of Armadale, Royal…US Consulate, Westplex, City of Armadale, Royal Perth Hospital, Seed Heritage stores",$1.51m,Yes,Berry Family Trust
Sullivan Logistics,45,,Tim Sullivan(Director),1995,NFP,,,130,,35,,,,"Perth metro, Goldfields, South West, Great…Perth metro, Goldfields, South West, Great Southern , Midwest , South Eastern.",,,,Yes,
