Ticker,LONG_COMP_NAME,CIE_DES_BULK
001380 CH Equity,Hwaway Technology Corp Ltd,
VISA IN Equity,Visa Steel Ltd,
VSCO IN Equity,Vidarbha Iron & Steel Corp Ltd,
301141 CH Equity,Zhejiang Zhongke Magnetic Industry Co Ltd,
TAZ CN Equity,True Zone Resources Inc,
TAS CN Equity,Terra Ventures Inc,
CPSH US Equity,CPS Technologies Corp,
CHU CN Equity,Channel Resources Ltd,
3788 HK Equity,China Hanking Holdings Ltd,"China Hanking Holdings Ltd. produces iron ore concentrates.  The Company minesiron ore, produces iron ore concentrates, and markets the concentratesprimarily to iron and steel producers in Liaoning Province, China."
AWS CN Equity,Arrowstar Resources Ltd,
1417889D CN Equity,Fletcher Nickel Inc,
OMDC IN Equity,Orissa Minerals Development Co Ltd/The,
CGJ CN Equity,Carlisle Goldfields Ltd,
MRD AU Equity,Mount Ridley Mines Ltd,"Mount Ridley Mines Limited is a diversified mining company with a primary focuson gold projects. The Company's main asset is its Murchison project in WesternAustralia, which contains gold deposits. Mount Ridley also owns other interests,including an interest in the Boston project which comprises explorationtenement applications for gold, silver, and copper."
ZIM/H CN Equity,Zinco Mining Corp,
BCN LN Equity,Bacanora Lithium Ltd,
MRQ AU Equity,MRG Metals Ltd,"MRG Metals Ltd. explores for gold and base metals in Western Australia.  TheCompany operates on the Xanadu Gold Project southeast of Paraburdoo in thePilbara, the Braemore Battery and Diorite gold prospects near Leonora in thenortheastern Goldfields, the Bellchambers-Sandstone copper prospect in theMurchison District, and the Mulgul copper prospect near Meekatharra."
BGS CN Equity,Baroyeca Gold & Silver Inc,
WMI CN Equity,Whetstone Minerals Ltd,
WDR AU Equity,Western Desert Resources Ltd,"Western Desert Resources Limited is a mineral exploration company. The Company'sprincipal activities involve exploration for iron ore, gold, base metals andother economic mineral deposits, and the development of mining operations at theRoper Bar iron ore project, Northern Territory."
SBY AU Equity,Salisbury Resources Ltd,"Salisbury Resources Ltd. explores for copper, gold and uranium.  The Companyoperates in South Australia, Western Australia and the Northern Territory."
RUP CN Equity,Rupert Resources Ltd,
1520419D US Equity,USA Uranium Corp,
MZI AU Equity,MZI Resources Ltd,MZI Resources Ltd is focused on the development of mineral sands operations tofeed zircon and titanium minerals into the expanding Chinese market. TheCompany has a mine and an advanced project in Australia.
