ENO,name,status,commodity,owner,startDate,endDate,observationMethod,positionalAccuracy,source,status_uri,representativeCommodity_uri,specification_uri,LAT_GDA94,LONG_GDA94
576138,Comet Project,historic mine,Gold,Westgold Resources Limited,,,satellite image,10000 metres,http://www.westgold.com.au/,http://resource.geosciml.org/classifier/cgi/mine-status/historic,http://resource.geosciml.org/classifier/cgi/commodity-code/gold,http://pid.geoscience.gov.au/id/feature/ga/er/mine/576138,-27.544,118.04
576139,Daisy Mining Centre,operating mine,Gold,"Silver Lake Resources Limited, Vault Minerals",,,satellite image,10000 metres,"http://www.silverlakeresources.com.au/, vaultminerals.com",http://resource.geosciml.org/classifier/cgi/mine-status/operating,http://resource.geosciml.org/classifier/cgi/commodity-code/gold,http://pid.geoscience.gov.au/id/feature/ga/er/mine/576139,-31.002,121.93
576191,Little Wonder,historic mine,Gold,"Millennium Minerals Limited, Northwest Resources Limited",,,"State or NT agency supplied location, method unknown",500 metres,"http://www.millenniumminerals.com.au/, http://www.nw-resources.com.au/",http://resource.geosciml.org/classifier/cgi/mine-status/historic,http://resource.geosciml.org/classifier/cgi/commodity-code/gold,http://pid.geoscience.gov.au/id/feature/ga/er/mine/576191,-21.8615,120.3245
576311,Golden Cities Project,historic mine,Gold,Zijin Mining Group Company Ltd,,,satellite image,999 metres,http://www.zjky.cn,http://resource.geosciml.org/classifier/cgi/mine-status/historic,http://resource.geosciml.org/classifier/cgi/commodity-code/gold,http://pid.geoscience.gov.au/id/feature/ga/er/mine/576311,-30.4164,121.3984
576315,Mount Pleasant Project,operating mine,Gold,Zijin Mining Group Company Ltd,,,satellite image,999 metres,http://www.zjky.cn,http://resource.geosciml.org/classifier/cgi/mine-status/operating,http://resource.geosciml.org/classifier/cgi/commodity-code/gold,http://pid.geoscience.gov.au/id/feature/ga/er/mine/576315,-30.55,121.23
576316,Rose,historic mine,Gold,Zijin Mining Group Company Ltd,,,"State or NT agency supplied location, method unknown",500 metres,http://www.zjky.cn,http://resource.geosciml.org/classifier/cgi/mine-status/historic,http://resource.geosciml.org/classifier/cgi/commodity-code/gold,http://pid.geoscience.gov.au/id/feature/ga/er/mine/576316,-30.5367,121.2606
576317,Racetrack,historic mine,Gold,Zijin Mining Group Company Ltd,,,"State or NT agency supplied location, method unknown",500 metres,http://www.zjky.cn,http://resource.geosciml.org/classifier/cgi/mine-status/historic,http://resource.geosciml.org/classifier/cgi/commodity-code/gold,http://pid.geoscience.gov.au/id/feature/ga/er/mine/576317,-30.5564,121.2396
576318,Royal Standard North,historic mine,Gold,Zijin Mining Group Company Ltd,,,"State or NT agency supplied location, method unknown",500 metres,http://www.zjky.cn,http://resource.geosciml.org/classifier/cgi/mine-status/historic,http://resource.geosciml.org/classifier/cgi/commodity-code/gold,http://pid.geoscience.gov.au/id/feature/ga/er/mine/576318,-30.5539,121.2514
576319,Carbine Project,historic mine,Gold,"Evolution Mining Limited, Northern Star Resources Limited",,,satellite image,10000 metres,"http://www.evolutionmining.com.au/, http://www.nsrltd.com/",http://resource.geosciml.org/classifier/cgi/mine-status/historic,http://resource.geosciml.org/classifier/cgi/commodity-code/gold,http://pid.geoscience.gov.au/id/feature/ga/er/mine/576319,-30.51,121.03
576320,Lady Bountiful Project,historic mine,Gold,Zijin Mining Group Company Ltd,,,satellite image,999 metres,http://www.zjky.cn,http://resource.geosciml.org/classifier/cgi/mine-status/historic,http://resource.geosciml.org/classifier/cgi/commodity-code/gold,http://pid.geoscience.gov.au/id/feature/ga/er/mine/576320,-30.5,121.22
576326,Binduli Project (Zijin),historic mine,Gold,Zijin Mining Group Company Ltd,,,satellite image,999 metres,http://www.zjky.cn,http://resource.geosciml.org/classifier/cgi/mine-status/historic,http://resource.geosciml.org/classifier/cgi/commodity-code/gold,http://pid.geoscience.gov.au/id/feature/ga/er/mine/576326,-30.82,121.396
576331,North Sandalwood,historic mine,Gold,Zijin Mining Group Company Ltd,,,"State or NT agency supplied location, method unknown",500 metres,http://www.zjky.cn,http://resource.geosciml.org/classifier/cgi/mine-status/historic,http://resource.geosciml.org/classifier/cgi/commodity-code/gold,http://pid.geoscience.gov.au/id/feature/ga/er/mine/576331,-30.3898,121.0631
576333,Sleeping Beauty,historic mine,Gold,Zijin Mining Group Company Ltd,,,"State or NT agency supplied location, method unknown",500 metres,http://www.zjky.cn,http://resource.geosciml.org/classifier/cgi/mine-status/historic,http://resource.geosciml.org/classifier/cgi/commodity-code/gold,http://pid.geoscience.gov.au/id/feature/ga/er/mine/576333,-30.3724,121.0497
576335,Ora Banda Project - gold,operating mine,Gold,Zijin Mining Group Company Ltd,,,satellite image,999 metres,http://www.zjky.cn,http://resource.geosciml.org/classifier/cgi/mine-status/operating,http://resource.geosciml.org/classifier/cgi/commodity-code/gold,http://pid.geoscience.gov.au/id/feature/ga/er/mine/576335,-30.376,121.06
576350,Plutonic Project,operating mine,Gold,"Northern Star Resources Limited, Superior Resources Limited, Catalyst Metals Ltd",,,satellite image,999 metres,"http://www.nsrltd.com/, http://www.superiorresources.com.au/, https://catalystmetals.com.au/",http://resource.geosciml.org/classifier/cgi/mine-status/operating,http://resource.geosciml.org/classifier/cgi/commodity-code/gold,http://pid.geoscience.gov.au/id/feature/ga/er/mine/576350,-25.3171,119.4437
576351,Ashburton Gold Project,historic mine,"Gold, (Copper)","Northern Star Resources Limited, Kalamazoo Resources Ltd",,,satellite image,999 metres,"http://kzr.com.au/, http://www.nsrltd.com/",http://resource.geosciml.org/classifier/cgi/mine-status/historic,http://resource.geosciml.org/classifier/cgi/commodity-code/gold,http://pid.geoscience.gov.au/id/feature/ga/er/mine/576351,-23.425,117.908
576401,Kintore,historic mine,Gold,Evolution Mining Limited,,,"company supplied location, method unknown",999 metres,http://www.evolutionmining.com.au/,http://resource.geosciml.org/classifier/cgi/mine-status/historic,http://resource.geosciml.org/classifier/cgi/commodity-code/gold,http://pid.geoscience.gov.au/id/feature/ga/er/mine/576401,-30.5904,121.0106
576404,Castle Hill Project,under development,Gold,Evolution Mining Limited,,,"company supplied location, method unknown",10000 metres,http://www.evolutionmining.com.au/,http://resource.geosciml.org/classifier/cgi/mine-status/under-development,http://resource.geosciml.org/classifier/cgi/commodity-code/gold,http://pid.geoscience.gov.au/id/feature/ga/er/mine/576404,-30.62,121.0288
