ENO,DEPOSIT_NAME,SYNONYMS,STATE,LONG_GDA94,LAT_GDA94,OPERATING_STATUS,COMMODITY_PRIMARY,COMMODITY_SECONDARY,COMMODITY_NAMES,COMPANIES,PROVINCES,GEOLOGIC_AGE,ENVIRONMENT,GROUP,TYPE,IGNEOUS,SEDIMENTARY,TECTONIC
333994,Jubilee,Jubilee North,QLD,140.0072,-20.7946,historic mine,"Au, Cu",,"Gold, Copper",Hammer Metals Ltd,"Mount Isa Orogen, Mary Kathleen Zone",Proterozoic,,,,,,Mary Kathleen Domain
333998,Matilda Mine,Matilda Gold Project,WA,120.2149,-26.7575,operating mine,Au,,Gold,Blackham Resources Limited,"Yilgarn Craton, Kalgoorlie Terrane, Norseman-Wiluna Belt",Archean,Metamorphic hydrothermal,Orogenic,Mesozonal orogenic gold,,,West Australian Element
333999,Kalman,Mount Isa,QLD,139.967,-21.0459,mineral deposit,"Mo, Cu, Au","Ag, Re","Molybdenum, Copper, Gold, (Silver, Rhenium)",Hammer Metals Ltd,"Mount Isa Orogen, Kalkadoon-Leichhardt Domain, Mary Kathleen Zone",Proterozoic,Regional metasomatic,Alkali-calcic,Low Iron alkali-calcic,,,Mitakoodi Domain
334000,Greenmount,"McCabe, White Range",QLD,140.5309,-21.024,mineral deposit,"Cu, Co, Au, Brt","Ag, As","Copper, Cobalt, Gold, (Silver, Barite, Arsenic)",Fetch Metals,"Mount Isa Orogen, Selwyn Metallogenic Province, Cloncurry-Selwyn Zone",Proterozoic,Regional metasomatic,IOCG,,,,Marimo-Staveley Domain
334001,Maud Creek,"Gold Creek, Maud Creek Project",NT,132.454,-14.4431,historic mine,Au,,Gold,"Newmarket Gold Inc, PNX Metals Limited, Crocodile Gold Corporation",Pine Creek Orogen,Proterozoic,Metamorphic hydrothermal,Orogenic,Mesozonal orogenic gold,Kalkarindji Igneous Province,,Pine Creek Orogen
334002,King Vol,"Auctus Chillagoe, Walsh River",QLD,144.2496,-16.9363,care and maintenance,"Zn, Cu, Pb, As, Cd","Ag, Fe","Zinc, Copper, (Silver, Lead, Arsenic, Cadmium, Iron)",Aurora Metals Ltd,Hodgkinson Province,Paleozoic,Magmatic hydrothermal,Skarn,Skarn zinc-lead-silver,,,Mossman Orogen
334005,Ravensworth UG,"Nardell Colliery, Newpac Colliery",NSW,151.0375,-32.4366,care and maintenance,Cbl,,Coal - black,"POSCO, Marubeni Corporation, Glencore Plc",Sydney Basin,,,,,,Sydney Basin,Eastern Province
334006,Rix's Creek,,NSW,151.13,-32.5269,operating mine,Cbl,,Coal - black,Bloomfield Group,Sydney Basin,,,,,,Sydney Basin,Eastern Province
334007,Bald Hill,,WA,122.1811,-31.5133,closed,"Ta2O5, Li2O, Ta",,"Tantalum pentoxide, Lithium oxide, Tantalum","Alliance Resources Limited, Tawana Resources NL, Altura Mining Limited","Yilgarn Craton, Kalgoorlie Terrane",,Magmatic,Pegmatite,LCT pegmatite,,,West Australian Element
334010,Trough Well,,WA,118.9739,-30.6708,mineral deposit,Ni,"Co, Cu","Nickel, (Cobalt, Copper)",Golden Horse Minerals Ltd,"Yilgarn Craton, Forrestania Nickel Metallogenic Province, Southern Cross Province",Archean,,,,,,West Australian Element
