Ticker,Name,Market Cap,Revenue:Y,Tot Assets:Y,Number of Employees:Y,Sec Type,BICS L1 Sect Nm,BICS L2 IG Nm,BICS L3 Ind Nm,BICS L4 Sub Ind Nm,BICS L5 Seg Nm,BICS L6 Seg Nm,CIE_DES_BULK
GT3 AU Equity,GREEN360 TECHNOLOGIES LTD,40474857.4,12252427,19115072,,Common Stock,Materials,Materials,Metals & Mining,Mineral & Precious Stone Mining, , ,Green360 Technologies Limited operates as a mining company. The Company focuseson the development of mineral and precious stone mining projects.
GRX AU Equity,GREENEX METALS LTD,221053978.5,2839,17206256,,Common Stock,Materials,Materials,Metals & Mining,Base Metals,Copper, ,Greenx Metals Limited provides exploration and mining services. The Companyexplores and develops copper and other critical mineral projects. Greenx Metalsserves customers worldwide.
GSR AU Equity,GREENSTONE RESOURCES LTD,,49808,26028944,,Common Stock,Materials,Materials,Metals & Mining,Precious Metals,Gold, ,"Greenstone Resources Limited of Australia is a gold exploration and developmentcompany. The Company's Principal Activity focuses on its Burbanks gold projectand underexplored gold portfolio surrounding Coolgardie, Western Australia."
GTM AU Equity,GREENTECH MINERALS LTD,,,,,Common Stock,Materials,Materials,Metals & Mining,Mineral & Precious Stone Mining,Mineral Mining, ,Greentech Minerals Ltd provides exploration and mining services. The Companyexplores and develops quartz vein deposits in northwest Queensland. GreentechMinerals serves customers worldwide.
GW1 AU Equity,GREENWING RESOURCES LTD,10363544.35,0,24892744,,Common Stock,Materials,Materials,Metals & Mining,Mineral & Precious Stone Mining,Mineral Mining, ,"Greenwing Resources Ltd. operates as a metal concentrate producer. The Companyprovides base metals and minerals such as copper, zinc, silver, gold, nickel,and graphite."
0626385D AU Equity,GREGORY COAL MINE,,,,,Private Comp,Materials,Materials,Metals & Mining,Coal Mining,Thermal Coal, ,#N/A N/A
HDG AU Equity,GREGORY RESOURCES LTD,,0,5330519,2,Common Stock,Materials,Materials,Metals & Mining,Precious Metals,Gold, ,Gregory Resources Limited operates as a gold mining company.
GCMZ AU Equity,GRIFFIN COAL MINING CO,,,,,Private Comp,Materials,Materials,Metals & Mining,Coal Mining, , ,"The Griffin Coal Mining Company Pty Limited provides coal mining services. TheCompany offers coal to electricity generating and steam train companies, as wellas used to produce fire cement and lime kilns."
881226Z AU Equity,GRIMWOOD DAVIES PTY LTD,,,,,Private Comp,Materials,Materials,Metals & Mining,Mining Services, , ,Grimwood Davies Pty Ltd was founded in 1985. The Company's line of businessincludes drilling wells for oil or gas field operations.
0626843D AU Equity,GROSVENOR COAL MINE,,,,,Private Comp,Materials,Materials,Metals & Mining,Mining Services, , ,"The Grosvenor coal mine is located 5km N of the township of Moranbah,Australia, and was established to extract coal from the Goonyella Middle Seamby conventional longwall methods. The mine is in the Queenslands coal producingBowen Basin and has direct access to the ports at Dalrymple Bay and Gladstone."
