Company Name,Current Rank,Previous Rank,Senior Executive Name & Title,Year established,Total Staff,Total staff in WA,Balance date,Total Revenue,Total Revenue (previous year),Operating Revenue,Operating Revenue (previous year),Profit or Loss,Profit or Loss (previous year),Total Assets,Total Assets (previous year),Total Liabilities,Total Liabilities (previous year),Trading status,Debt - Term Loans Due,Debt - Term Loans Expire,Debt - Interest Bearing Loan & Borrowing Date,Debt - Interest Bearing Loan & Borrowing Amount,Debt - Term Loans Amount,"Debt - Term Loans (e.g. Syndicated, bonds etc)",Short Term Debt,Short Term Debt (previous year),Long Term Debt,Long Term Debt (previous year),Joint Ventures - Partner Name,Joint Ventures - Beneficial Interest,Joint Ventures - Share of Revenue,Joint Ventures - Carrying Amount,Joint Ventures - Profit/Loss,Joint Ventures - Assets,Joint Ventures - Liabilities,Associates - Name,Associates - Beneficial Interest,Associates - Share of Revenue,Associates - Carrying Amount,Associates - Profit/Loss,Associates - Assets,Associates - Liabilities,Company Status,Lawyers,Auditors,Geographical,Industry,Shares (million),ASX Code,Share Registry,Home Exchange,Ultimate holding company
Lotus Resources,351,119,,,,,30-Jun-2024,$21.16k,$102.47k,$0,$0,$-24.51m,$-9.92m,$168.82m,$71.77m,$41.43m,$38.09m,,,,,,,,$0,$0,$0,$0,,,,,,,,,,,,,,,,,RSM Australia,,"Lotus Resources Limited (LOT, formerly Hylea…Lotus Resources Limited (LOT, formerly Hylea Metals Limited) is a mineral exploration company with projects located in in New South Wales and Western Australia. The projects encompass cobalt, platinum, nickel and base metals.","2,371",LOT,,PERTH,
Arizona Lithium,117,424,,,,,30-Jun-2024,$1.72m,$4.10k,$0,$0,$-22.82m,$-14.36m,$98.41m,$81.12m,$7.65m,$4.26m,,,,,,,,$700.81k,$646.45k,$1.55m,$2.05m,,,,,,,,,,,,,,,,,Grant Thornton Audit Pty Ltd,,"Arizona Lithium Limited (AZL, formerly Hawkstone…Arizona Lithium Limited (AZL, formerly Hawkstone Mining Limited) is a mineral exploration company focusing on the Big Sandy, Prairie Lithium and Lordsburg Projects in North America exploring for lithium.","5,380",AZL,,PERTH,
Hot Chili,429,116,Christian Easterday(Managing Director),,,,30-Jun-2024,$0,$0,$0,$0,$-7.57m,$-5.23m,$250.88m,$224.43m,$3.46m,$1.78m,,,,,,,,$162.59k,$124.49k,$392.01k,$209.12k,,,,,,,,,,,,,,,,"Bennet Jones, Blackwall Legal LLP",RSM Australia Partners,,"Hot Chili Limited (HCH) is an exploration company…Hot Chili Limited (HCH) is an exploration company focusing on developing of copper projects in Chile. The Company aims to build shareholder value through the growth and development of its Costa Fuego copper project, located in a low elevation and accessible region of northern Chile.  The company has three key copper projects - Cortadera, Productora, and El Fuego all located in close proximity to one another.",153,HCH,,PERTH,
Anson Resources,430,426,"Bruce Richardson(Executive Chair, Chief Executive)",,,,30-Jun-2024,$0,$0,$0,$0,$-9.84m,$-12.43m,$54.60m,$59.73m,$4.94m,$3.24m,,,,,,,,$886.21k,$458.38k,$539.16k,$1.02m,,,,,,,,,,,,,,,,,Ernst & Young,,Anson Resources Limited is in the exploration and…Anson Resources Limited is in the exploration and development of natural resources to power a clean energy future. Anson Resources is global critical minerals company. The Group has two reportable segments- mineral exploration Australia and mineral exploration USA,"1,442",ASN,,PERTH,
Talga Group,154,181,"Mark Thompson(Founder, Managing Director)",2010,,,30-Jun-2024,$929.54k,$1.41m,$225.41k,$279.57k,$-38.26m,$-43.36m,$46.10m,$65.15m,$5.87m,$8.16m,,,,,,,,$602.22k,$801.41k,$838.80k,$1.57m,,,,,,,,,,,,,,,,,Ernst & Young,,"Talga Group Ltd (TLG) is a global leader in the…Talga Group Ltd (TLG) is a global leader in the development and production of sustainable battery materials. Its flagship product, Talnode-C, is a natural graphite anode material made in Sweden with an ultra-low carbon footprint. Talga range of battery materials under development include a silicon anode product and conductive additives for cathodes. Talga technology and vertical integration of 100% owned Swedish graphite resources provides security of supply.",455,TLG,,PERTH,
Aruma Resources,139,194,,,,,30-Jun-2024,$1.15m,$837.18k,$0,$0,$-1.13m,$-3.05m,$2.41m,$3.50m,$157.34k,$203.33k,,,,,,,,$5.88k,$21.81k,$0,$5.88k,,,,,,,,,,,,,,,,,Elderton Audit Pty Ltd,,"Aruma Resources Ltd is an ASX-listed minerals…Aruma Resources Ltd is an ASX-listed minerals exploration company focused on the exploration and development of a portfolio of prospective gold and lithium projects located in major, active Australian gold mineralised belts in Western Australia.",327,AAJ,,PERTH,
eMetals,555,327,,,,,30-Jun-2024,$-4.59m,$5.48m,$0,$0,$-5.71m,$3.77m,$5.27m,$10.98m,$43.34k,$90.22k,,,,,,,,$0,$0,$0,$0,,,,,,,,,,,,,,,,Steinepreis Paganin,HLB Mann Judd,,"eMetals Limited (EMT) is a mining exploration…eMetals Limited (EMT) is a mining exploration company focused on rare earth, precious, and base metals. Its recent strategic acquisition of the Mubende Gold Project in central Uganda spans 202 square kilometres, including the Bukuya prospect, with ongoing artisanal mining over 600 meters of strike.",850,EMT,,PERTH,
Riedel Resources,431,386,,,,,30-Jun-2024,$0,$0,$0,$0,$-6.35m,$-820.24k,$6.43m,$9.66m,$233.21k,$773.66k,,,,,,,,$29.35k,$0,$0,$0,,,,,,,,,,,,,,,,Hamilton Locke,Stantons International Audit and Consulting Pty…Stantons International Audit and Consulting Pty Ltd,,"Riedel Resources Limited (RIE) is an ASX-listed…Riedel Resources Limited (RIE) is an ASX-listed exploration company involved in exploring gold and base metals in Australia and Arizona, USA. The company is working on developing the Kingman Gold Project located in north-west Arizona, which has a history of gold activity.",141,RIE,,PERTH,
Volt Resources,377,247,,,,,30-Jun-2024,$6.00k,$0,$0,$0,$-4.12m,$-13.34m,$26.19m,$28.29m,$12.24m,$12.39m,,,,,,,,$184.97k,$0,$0,$0,,,,,,,,,,,,,,,,,HLB Mann Judd,,"Volt Resources Limited (VRC, formerly known as…Volt Resources Limited (VRC, formerly known as Mozambi Resources Ltd) is a critical minerals and battery materials company listed on the Australian Stock Exchange which is a graphite producer and an emerging natural graphite anode (a component of lithium-ion batteries) producer.","4,684",VRC,,PERTH,
Eclipse Metals,398,352,"Carl Popal(Executive Chairman, Executive Director)",2010,,,30-Jun-2024,$348,$783,$0,$0,$-1.30m,$-2.50m,$14.11m,$13.37m,$632.06k,$177.90k,,,,,,,,$0,$0,$0,$0,,,,,,,,,,,,,,,,,Stantons International Audit and Consulting Pty…Stantons International Audit and Consulting Pty Ltd,,"Eclipse Metals Ltd is an Australian exploration…Eclipse Metals Ltd is an Australian exploration company focused on exploring southwestern Greenland, Australia's Northern Territory and state of Queensland for multi-commodity mineralisation. Eclipse has an impressive portfolio of assets prospective for cryolite, fluorite, siderite, quartz (high-purity silica), rare earths, gold, platinum group metals, manganese, palladium and vanadium mineralisation.","2,999",EPM,,PERTH,
Sheffield Resources,432,64,,,,,30-Jun-2024,$0,$0,$0,$0,$-32.19m,$-8.61m,$139.65m,$169.92m,$447.00k,$302.00k,,,,,,,,$0,$0,$0,$0,,,,,,,,,,,,,,,,"HWL Ebsworth Lawyers, Norton Rose Fulbright…HWL Ebsworth Lawyers, Norton Rose Fulbright Australia",HLB Mann Judd,,"Sheffield Resources Limited (SFX) is focused on…Sheffield Resources Limited (SFX) is focused on building a group of international mineral sands development and production assets to produce cash flow and expansion. Their main asset is a 50% interest in Kimberley Mineral Sands Pty Ltd (KMS), the owner of the Thunderbird Mineral Sands Mine located in north-west Western Australia.",395,SFX,,PERTH,
Parkway Corporate,75,102,,,,,30-Jun-2024,$9.54m,$4.69m,$8.90m,$4.25m,$-734.41k,$-1.68m,$26.92m,$11.96m,$11.94m,$3.97m,,,,,,,,$538.25k,$336.22k,$7.37m,$2.46m,,,,,,,,,,,,,,,,,Nexia Perth Audit Services Pty Ltd,,"Parkway Corporate Limited (PWN) is an Australian…Parkway Corporate Limited (PWN) is an Australian water & wastewater treatment and process technology company. Parkway is focused on the commercialisation of a portfolio of innovative process technologies in key industrial markets, as Parkway believes this is an important and effective strategy for addressing various global water related sustainability challenges.","2,767",PWN,,PERTH,
Walkabout Resources,433,575,,,,,30-Jun-2024,$0,$0,$0,$0,$-8.53m,$-8.53m,$76.55m,$56.08m,$36.64m,$6.12m,,,,,,,,$3.70m,$0,$27.67m,$0,,,,,,,,,,,,,,,,,Ernst & Young,,"Walkabout Resources Limited (WKT) is involved in…Walkabout Resources Limited (WKT) is involved in exploration and development of resources and energy assets located in Tanzania, Scotland and Northern Ireland.",671,WKT,,PERTH,
Southern Hemisphere Mining,434,551,"Trevor Tennant(Co-Founder, Managing Director)",,,,30-Jun-2024,$0,$0,$0,$0,$-3.47m,$-2.48m,$4.70m,$663.26k,$692.48k,$250.55k,,,,,,,,$350.37k,$0,$0,$0,,,,,,,,,,,,,,,,,Elderton Audit Pty Ltd,,"Southern Hemisphere Mining Limited (SUH) is a…Southern Hemisphere Mining Limited (SUH) is a minerals explorer in Chile, South America. The Company's projects include the Llahuin Porphyry Copper-Gold-Moly Project and the Los Pumas Battery Metals Manganese Project.",736,SUH,,PERTH,
VRX Silica,435,316,Bruce Maluish(Managing Director),,,,30-Jun-2024,$0,$13.70k,$0,$0,$-4.26m,$-5.06m,$19.17m,$18.56m,$1.10m,$1.02m,,,,,,,,$89.77k,$80.93k,$247.46k,$337.22k,,,,,,,,,,,,,,,,,RSM Australia Partners,,"VRX Silica Limited (VRX) is a silica sand company…VRX Silica Limited (VRX) is a silica sand company listed on the ASX, working on its fully owned silica sand projects at Arrowsmith (North, Brand, and Central), Muchea, and Boyatup in Western Australia.",747,VRX,,PERTH,
Infinity Metals,233,254,"Adrian Byass(Interim Chief Executive, Executive Chairman)",,,,30-Jun-2024,$264.00k,$277.00k,$0,$0,$-3.68m,$-3.95m,$56.12m,$27.97m,$31.59m,$499.00k,,,,,,,,$0,$0,$0,$0,,,,,,,,,,,,,,,,,Pitcher Partners BA&A Pty Ltd,,"Infinity Metals Limited (INF, formerly Infinity…Infinity Metals Limited (INF, formerly Infinity Lithium Corporation Limited) is an Australian listed minerals company who is seeking to develop its 75% owned San Jose Lithium Project in Spain.",479,INF,,PERTH,
Zeotech,172,179,,,,,30-Jun-2024,$688.98k,$1.04m,$0,$0,$-5.53m,$-2.47m,$12.84m,$14.95m,$1.30m,$741.92k,,,,,,,,$568.59k,$54.77k,$248.18k,$311.27k,,,,,,,,,,,,,,,,,In.Corp Audit & Assurance Pty Ltd,,"Zeotech Limited (ZEO, formerly Metalsearch…Zeotech Limited (ZEO, formerly Metalsearch Limited) is an industrial kaolin and mineral processing technology Company. ZEO is currently working with the University of Queensland to commercialise novel and proprietary zeolite mineral processing technology.","1,884",ZEO,,PERTH,
Antipa Minerals,220,187,Roger Mason(Managing Director),,,,30-Jun-2024,$319.87k,$18.10k,$0,$0,$-2.44m,$-3.25m,$81.05m,$71.19m,$2.39m,$2.63m,,,,,,,,$56.95k,$56.95k,$284.89k,$362.30k,,,,,,,,,,,,,,,,,BDO Audit Pty Ltd,,Antipa Minerals Ltd (ASX: AZY) is a front runner…Antipa Minerals Ltd (ASX: AZY) is a front runner mineral exploration company with a proven track record of discovering top class gold-copper deposits in the good prospective Paterson Province of Western Australia. The Company remains focused on advancing its exploration and development programmes to unlock the full potential of this richly endowed region.,647,AZY,,PERTH,
Middle Island Resources,222,232,Roland Bartsch(Chief Executive),,,,30-Jun-2024,$312.32k,$131.73k,$0,$0,$-1.66m,$-5.30m,$4.12m,$3.98m,$151.52k,$106.98k,,,,,,,,$0,$0,$0,$0,,,,,,,,,,,,,,,,William and Hughes,Elderton Audit Pty Ltd,,"Middle Island Resources Limited (MDI) is an…Middle Island Resources Limited (MDI) is an Australian-incorporated company engaged in the exploration of copper and gold deposits. The company is managed by a team with international industry experience. Its focus is on copper, which is important in electrification and renewable energy use, and gold, which is commonly used as a store of value. The company is a small-cap exploration company with defined drilling targets in a region near Newmont (Newcrest).",293,MDI,,PERTH,
Galan Lithium,221,292,,,,,30-Jun-2024,$317.55k,$61.10k,$0,$0,$-9.51m,$-7.62m,$174.26m,$128.04m,$14.42m,$11.59m,,,,,,,,$158.81k,$143.71k,$446.91k,$605.72k,,,,,,,,,,,,,,,,,Hall Chadwick WA Audit Pty Ltd,,"Galan Lithium Limited (GLN) is a lithium…Galan Lithium Limited (GLN) is a lithium exploration and development business. Galan's flagship assets comprise lithium brine projects, HMW and Candelas, located on the Hombre Muerto Salar in Argentina, within South America's ‘lithium triangle'.","1,057",GLN,,PERTH,
Rumble Resources,264,141,"Peter Harold(Managing Director, Chief Executive)",,,,30-Jun-2024,$133.97k,$239.10k,$0,$0,$-3.75m,$-5.01m,$59.67m,$54.10m,$2.28m,$3.32m,,,,,,,,$44.86k,$80.54k,$22.18k,$20.65k,,,,,,,,,,,,,,,,"Mining Access Legal, Steinepreis Paganin",Hall Chadwick WA Audit Pty Ltd,,"Rumble Resources Limited (RTR) is an Australian…Rumble Resources Limited (RTR) is an Australian based ASX Listed exploration company that is firmly focussed on the Zn-Pb-Ag discovery at the Earaheedy Project in Western Australia. The Company has a pipeline of exploration base metal, lithium and gold projects located in Tier 1 regions of Western Australia.",950,RTR,,PERTH,
Red Mountain Mining,288,263,,,,,30-Jun-2024,$88.00k,$86.29k,$0,$0,$-2.76m,$-4.40m,$2.50m,$3.34m,$218.18k,$497.40k,,,,,,,,$83.49k,$82.43k,$23.66k,$114.40k,,,,,,,,,,,,,,,,Steinepreis Paganin,RSM Australia Partners,,"Red Mountain Mining Limited (RMX) is a mineral…Red Mountain Mining Limited (RMX) is a mineral exploration and development company. It has a portfolio of critical minerals including gold, lithium, rare earth and base metal projects, located in Canada, Australia and the United States.",595,RMX,,PERTH,
Develop Global,39,103,,,,,30-Jun-2024,$147.36m,$69.89m,$147.23m,$67.78m,$-12.13m,$-17.89m,$471.23m,$245.80m,$121.79m,$96.14m,,,,,,,,$22.16m,$11.84m,$18.65m,$16.08m,,,,,,,,,,,,,,,,,BDO Audit (WA) Pty Ltd,,"Develop Global Limited (DVP) is an emerging mine…Develop Global Limited (DVP) is an emerging mine owner and mining services business with unique capabilities and skill sets in terms of both its people and its projects. The company has been actively engaged in advancing its Copper-Zinc Projects in Pilbara region, Western Australia",328,DVP,,PERTH,
Brockman Mining,225,121,Colin Paterson(Executive Director),,,,30-Jun-2024,$305.74k,$9.24k,$0,$0,$-2.58m,$-10.89m,$137.94m,$139.52m,$41.53m,$41.12m,,,,,,,,$82.57k,$76.23k,$14.73m,$12.58m,,,,,,,,,,,,,,,,,Ernst & Young,,"Brockman Mining Limited (BCK) is engaged in the…Brockman Mining Limited (BCK) is engaged in the acquisition, exploration and development of iron ore projects in the Pilbara region of Western Australia. The Group's objective is to focus on the development of its iron ore projects in Western Australia which are advancing to the construction phase.","9,280",BCK,,PERTH,
Great Southern Mining,436,299,John Terpu(Executive Chair),,,,30-Jun-2024,$0,$766.13k,$0,$0,$-1.99m,$-1.94m,$13.72m,$13.26m,$469.09k,$542.66k,,,,,,,,$76.05k,$60.54k,$78.99k,$0,,,,,,,,,,,,,,,,Allion Partners Pty Ltd,HLB Mann Judd,,Great Southern Mining Limited (GSN) is an…Great Southern Mining Limited (GSN) is an exploration company with land holdings in districts of Laverton in Western Australia and Mt Carlton in North Queensland. All projects are located within 40km of operating mills and/or major mining operations.,996,GSN,,PERTH,
Invictus Energy,231,,,,,,30-Jun-2024,$270.41k,$0,$0,$0,$-5.00m,$-4.66m,$126.75m,$98.95m,$3.31m,$2.90m,,,,,,,,$166.88k,$145.91k,$52.28k,$219.16k,,,,,,,,,,,,,,,,Steinepreis Paganin,BDO Audit Pty Ltd,,"Invictus Energy Ltd (IVZ) is an independent oil…Invictus Energy Ltd (IVZ) is an independent oil and gas exploration company focused on high impact energy resources in sub-Saharan Africa. Its asset portfolio consists of a prospective 360,000 hectares within the Cabora Bassa Basin in Zimbabwe. SG 4571 and EPOs 1848/49 contain the newly discovered Mukuyu gas field and multiple Basin Margin prospects.","1,603",IVZ,,PERTH,
Ardiden,556,95,Tara Robinson(Interim Chief Executive),,,,30-Jun-2024,$-17.23m,$18.10m,$0,$0,$-10.19m,$15.75m,$31.80m,$42.29m,$116.28k,$361.09k,,,,,,,,$0,$58.20k,$0,$0,,,,,,,,,,,,,,,,Gilbert + Tobin,Nexia Perth Audit Services Pty Ltd,,"Ardiden Limited (ADV) is an exploration company…Ardiden Limited (ADV) is an exploration company focused on systematic gold exploration at 100% owned Pickle Lake Gold Project in north-west Ontario, Canada.",62,ADV,,PERTH,
Rokeby Resources,265,235,,2008,,,30-Jun-2024,$131.53k,$84.23k,$0,$0,$-6.10m,$-1.45m,$10.59m,$13.60m,$311.50k,$669.04k,,,,,,,,$80.86k,$516.27k,$70.26k,$15.65k,,,,,,,,,,,,,,,,,Stantons International Audit and Consulting Pty…Stantons International Audit and Consulting Pty Ltd,,"Rokeby Resources Limited (RKB, formerly Inca…Rokeby Resources Limited (RKB, formerly Inca Minerals Limited) is a junior resource company listed on the Australian Stock Exchange involved in exploration, project generation and the generation of positive news flow. Its focus is gold-copper porphyry deposits, SEDEX style deposits and iron ore-copper-gold deposits (IOCG's). In addition, it has recently secured projects that are prospective for lithium.","1,825",RKB,,PERTH,
Castillo Copper,203,254,,,,,30-Jun-2024,$415.92k,$0,$0,$0,$-1.46m,$-6.94m,$10.72m,$12.20m,$112.14k,$128.35k,,,,,,,,$0,$0,$0,$0,,,,,,,,,,,,,,,,,HLB Mann Judd,,"Castillo Copper Limited (ASX: CCZ, formerly…Castillo Copper Limited (ASX: CCZ, formerly Oakland Resources Limited) is a base metal explorer primarily focused on copper then zinc & nickel - that has the bulk of its core operating assets in eastern Australia.","1,453",CCZ,,PERTH,
Rey Resources,437,541,Wei Jin(Managing Director),,,,30-Jun-2024,$0,$0,$0,$0,$-9.40m,$-9.40m,$34.10m,$40.18m,$23.36m,$20.03m,,,,,,,,$537.00k,$441.00k,$19.35m,$15.92m,,,,,,,,,,,,,,,,,SW Audit,,Rey Resources Limited (REY) is focused on…Rey Resources Limited (REY) is focused on exploring and developing energy resources in Western Australia's Canning Basin. The company holds 100% interest in the Derby Block EP487 and in EP458.  The company also holds two well-explored coal tenements in the Canning Basin which consists of the Duchess Paradise Coal Project.,211,REY,,PERTH,
Terra Metals,438,41,"Thomas Line(Chief Executive Officer, Managing Director)",,,,30-Jun-2024,$0,$0,$0,$0,$-4.89m,$-1.06m,$6.36m,$3.98m,$1.52m,$60.55k,,,,,,,,$0,$0,$0,$0,,,,,,,,,,,,,,,,Thomson Geer Lawyers,William Buck Audit (WA) Pty Ltd,,"Terra Metals Limited (TM1) has has the potential…Terra Metals Limited (TM1) has has the potential to host large sulphide deposits containing copper, gold, PGE's, vanadium and titanium; the first of its kind in Australia. Terra Metals conducts exploration, which is beneficial to all stakeholders, including local Aboriginal communities in the areas of operations, by creating employment and business development opportunities which are appropriate and sustainable.",625,TM1,,PERTH,
Tungsten Mining,162,191,,,,,30-Jun-2024,$815.99k,$1.16m,$0,$0,$-5.11m,$-2.93m,$29.85m,$35.06m,$2.48m,$2.58m,,,,,,,,$124.62k,$201.85k,$516.50k,$620.41k,,,,,,,,,,,,,,,,DLA Piper,Stantons International Audit & Consulting Pty Ltd,,Tungsten Mining NL (TGN) is an Australian based…Tungsten Mining NL (TGN) is an Australian based resources company focused on the exploration and development of tungsten projects in Australia.,898,TGN,,PERTH,
Krakatoa Resources,325,304,,,,,30-Jun-2024,$38.68k,$21.03k,$0,$0,$-3.21m,$-3.47m,$1.79m,$1.46m,$177.66k,$501.48k,,,,,,,,$62.10k,$55.59k,$5.87k,$39.99k,,,,,,,,,,,,,,,,,RSM Australia,,"Krakatoa Resources Limited (KTA) focuses on…Krakatoa Resources Limited (KTA) focuses on mineral exploration and acquiring resource-based projects in gold, copper, iron ore, base metals, and coal. In the last six months, the company executed a binding Heads of Agreement to acquire an 80% interest in the Zopkhito Project and made significant advancements in the King Tamba and Mt Clere projects.",778,KTA,,PERTH,
Javelin Minerals,439,488,,,,,30-Jun-2024,$0,$0,$0,$0,$-3.79m,$-660.10k,$6.62m,$8.48m,$270.41k,$171.85k,,,,,,,,$0,$0,$0,$0,,,,,,,,,,,,,,,,,HLB Mann Judd,,"Javelin Minerals Limited (JAV) owns two…Javelin Minerals Limited (JAV) owns two prospective gold projects in the heart of WA's Eastern Goldfields. These projects sit - 50km either side of Kalgoorlie, both host significant JORC Resources and each has compelling exploration offering potential to grow their respective inventories. Importantly, the projects are close to existing infrastructure, including mills with production capacity, and have access to a skilled workforce.","6,252",JAV,,PERTH,
Taruga Minerals,277,556,,,,,30-Jun-2024,$104.71k,$42.06k,$82.73k,$21.03k,$-10.30m,$-964.15k,$2.65m,$12.91m,$237.90k,$200.64k,,,,,,,,$0,$0,$0,$0,,,,,,,,,,,,,,,,,HLB Mann Judd,,Taruga Minerals Limited (ASX:TAR) is a mineral…Taruga Minerals Limited (ASX:TAR) is a mineral exploration company listed on the Australian Securities Exchange with a focus on discovering copper systems in Tier-1 jurisdictions in Australia.,713,TAR,,PERTH,
European Metals Holdings,282,140,"Keith Coughlan(Managing Director, Executive Chair since 2020)",,,,30-Dec-2024,$98.77k,$1.26m,$0,$1.10m,$-1.25m,$-5.93m,$35.13m,$37.27m,$795.83k,$960.37k,,,,,,,,$49.09k,$40.78k,$94.77k,$0,,,,,,,,,,,,,,,,,BDO Audit Pty Ltd,,European Metals Holdings Limited (EMH) is…European Metals Holdings Limited (EMH) is involved in mineral exploration and development activities of the Cinovec Lithium project in the Czech Republic.,226,EMH,,PERTH,
Santa Fe Minerals,440,255,Douglas Rose(Managing Director),,,,30-Jun-2024,$0,$0,$0,$0,$-856.27k,$-1.02m,$2.12m,$2.94m,$147.95k,$111.87k,,,,,,,,$0,$0,$0,$0,,,,,,,,,,,,,,,,DLA Piper Australia,HLB Mann Judd,,"Santa Fe Minerals Limited (SFM, formerly EZA…Santa Fe Minerals Limited (SFM, formerly EZA Corporation Limited) is into exploration for gold and base metals within the state of Western Australia.",72,SFM,,PERTH,
Predictive Discovery,253,,,,,,30-Jun-2024,$176.95k,$0,$0,$0,$-8.67m,$-11.23m,$176.59m,$133.79m,$6.64m,$9.29m,,,,,,,,$159.33k,$313.24k,$0,$0,,,,,,,,,,,,,,,,,PKF Perth,,"Predictive Discovery Limited (PDI) is focused on…Predictive Discovery Limited (PDI) is focused on discovering and developing gold deposits within the Siguiri Basin, Guinea. The Company's key asset is the Tier-1 Bankan Gold Project. A Mineral Resource of 5.53Moz has been defined to date, including 4.89Moz at the NEB deposit, the largest gold discovery in West Africa in a decade.","2,622",PDI,,PERTH,
EcoGraf,112,187,,,,,30-Jun-2024,$1.91m,$1.03m,$0,$0,$-5.66m,$-7.30m,$55.89m,$62.09m,$5.08m,$3.20m,,,,,,,,$99.00k,$0,$129.00k,$0,,,,,,,,,,,,,,,,"King & Wood Mallesons, Steinepreis Paganin",RSM Australia Partners,,EcoGraf Limited (EGR) is building an integrated…EcoGraf Limited (EGR) is building an integrated battery anode materials business to produce high purity graphite products for the lithium-ion battery and advanced manufacturing markets.,456,EGR,,PERTH,
St George Mining,291,286,,,,,30-Jun-2024,$80.98k,$65.55k,$0,$0,$-8.11m,$-10.73m,$3.06m,$3.91m,$998.48k,$2.09m,,,,,,,,$146.50k,$90.70k,$146.66k,$237.17k,,,,,,,,,,,,,,,,,Stantons International Audit and Consulting Pty…Stantons International Audit and Consulting Pty Ltd,,St George Mining Limited (SGQ) is an Australia…St George Mining Limited (SGQ) is an Australia-based mining exploration company.,"2,921",SGQ,,PERTH,
