ID,ACN,MatchedNames
comp_208,643293716,Native Mineral Resources Holdings Limited
comp_209,107244039,"Allstrong Investments Pty Ltd,Delta Lithium Limited,Minemakers Ttt Pty Ltd,Red Dirt Metals Limited,Tnt Mines Limited"
comp_210,009148529,"Datamotion Asia Pacific Limited,Dry Creek Mining N.L.,Ipt Systems Limited,Kingston Resources Limited,Nexus Minerals Nl,Nuworld Solutions Limited,Synergy Equities Group Limited"
comp_212,642404797,"Many Peaks Gold Limited,Many Peaks Gold Pty Ltd,Many Peaks Minerals Ltd"
comp_213,006710774,"Alcaston Mining N.L.,Asara Resources Limited,Golden Rim Resources Ltd"
comp_214,614534226,Blackstone Minerals Limited
comp_215,609094653,"Craton Gold Pty Ltd,Cygnus Gold Limited,Cygnus Metals Limited,Da Exploration Pty Ltd"
comp_216,125368658,"Eagle Nickel Limited,Pure Minerals Limited,Qpm Energy Limited,Queensland Pacific Metals Limited,Uranium And Nickel Limited"
comp_217,136636005,"Anson Resources Limited,Maya Iron Corporation Pty Ltd,Mayan Iron Corporation Ltd,Mayan Iron Corporation Pty Ltd"
comp_219,115009106,"Anchor Resources Pty Limited,Carbine Tungsten Limited,Eq Resources Limited,Icon Resources Ltd,Icon Resources Pty Limited,Speciality Metals International Limited"
comp_220,614289342,Ardea Resources Limited
comp_221,106806884,Petratherm Ltd
comp_222,062576238,"Playford Resources N.L.,Terramin (Australia) N.L.,Terramin Australia Limited"
comp_223,622990809,Aldoro Resources Limited
comp_224,649477734,"Osmond Resources Limited,Osmond Resources Pty Ltd"
comp_225,614175923,Horizon Gold Limited
comp_227,004297116,"Hillgrove Gold Limited,Hillgrove Gold Nl,Hillgrove Resources Limited,Vam Limited,Victorian Antimony Mines Ltd."
comp_228,106732487,"Kalgoorlie-Boulder Resources Ltd,Matsa Resources Limited"
comp_229,650116153,Vertex Minerals Limited
comp_230,061267061,"Diatreme Resources Limited,Minstrike Limited,Minstrike Mining Pty Ltd,Strike Exploration Pty Limited"
comp_231,155933010,"Gcx Metals Limited,Paringa Resources Limited,Paringa Resources Pty Ltd,Terra Metals Limited"
comp_232,142366541,"Eclipse Metals Limited,Eclipse Uranium Ltd"
comp_233,626093150,"Global Lithium Resources Limited,Global Lithium Resources Pty Ltd,Goora Lithium Pty Ltd"
