Ticker,Short Name,Cntry Terrtry Of Dom,Sec Type,Market Cap,Revenue:Y,Tot Assets:Y,Number of Employees LF,ICB Sector Name,ICB Subsector Name,GICS Ind Name,GICS SubInd Name,BICS L3 Ind Nm,BICS L4 Sub Ind Nm,BICS L5 Seg Nm,BICS L6 Seg Nm
SK1A GR Equity,SKW STAHL-METALL,DE,Common Stock,--,347.91M,220.71M,572,Industrial Metals and Mining,Iron and Steel,Metals & Mining,Steel,Industrial Intermediate Prod,Fabricated Metal & Hardware,Fabricated Metal,Wire Products
PEM AU Equity,PERILYA LTD,AU,Common Stock,--,352.33M,666.94M,--,Industrial Metals and Mining,General Mining,--,--,Metals & Mining,Base Metals,--,--
SFCL IN Equity,STAR FERRO AND C,IN,Common Stock,--,355.22M,486.12M,--,Industrial Metals and Mining,Iron and Steel,Construction Materials,Construction Materials,Metals & Mining,Iron,Iron Foundries,--
URAG RU Equity,URALASBEST-BRD,RU,Common Stock,--,355.87M,311.91M,--,Industrial Metals and Mining,General Mining,--,--,Metals & Mining,Mineral & Precious Stone Mining,Precious Stone Mining,Gemstones
002147 CH Equity,NEOGLORY PROSP-A,CN,Common Stock,--,362.75M,1.88B,--,Industrial Metals and Mining,Metal Fabricating,Real Estate Management & Development,Real Estate Development,Real Estate Owners & Developers,Multi Asset Class Own & Develop,--,--
MND CN Equity,MANDALAY RES CRP,CA,Common Stock,--,364.99M,532.86M,--,Industrial Metals and Mining,General Mining,Metals & Mining,Gold,Metals & Mining,Precious Metals,--,--
TNROQ US Equity,TERRA NOSTRA RES,US,Common Stock,--,366.64M,217.70M,--,Industrial Metals and Mining,General Mining,--,--,Industrial Intermediate Prod,Fabricated Metal & Hardware,--,--
1529457D AU Equity,BURSWOOD LTD,AU,Common Stock,--,374.17M,854.70M,3k,Industrial Metals and Mining,Iron and Steel,Capital Markets,Investment Banking & Brokerage,Leisure Facilities & Services,Lodging,Casino Hotels,--
2319075D CN Equity,NEVSUN RESOURCES,CA,Common Stock,--,377.66M,1.39B,--,Industrial Metals and Mining,Copper,Metals & Mining,Copper,Metals & Mining,Precious Metals,--,--
TV CN Equity,TREVALI MINING C,CA,Common Stock,--,383.80M,732.51M,--,Industrial Metals and Mining,Nonferrous Metals,Metals & Mining,Diversified Metals & Mining,Metals & Mining,Base Metals,--,--
URLK RU Equity,URALKUZ-BRD,RU,Common Stock,--,385.18M,890.14M,3k,Industrial Metals and Mining,Iron and Steel,Metals & Mining,Steel,Steel,Steel Producers,--,--
